SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, NO_OF_TRADES, DELIV_QTY, DELIV_PER,CLO,HiLo,Wick,ClOP_per,Wick_Percentage,HiLo_Percentage,vol_dis, MEAN_AVG_PRICE,Alert,volume_spike,NR7,is_near_avg,closing_strength,delivery_vol_ratio,volatility_score,vol_dis_old,Per_vol_Updown,Factor,delivery_Factor,delivery_Factor_old,delivery_density,Signal,STOCK_NAME
WHIRLPOOL, EQ,05-04-2021,inf,2228,2228,2172,2189,2189.5,2192.16,54404,7349,34853,64.06,-38.5,56,94.5,-1.76,4.32,2.51,9999,1682.36,HIGH,,FALSE,FALSE,31.25,0.64,0.5,0,100,7.6,0.02,0,99.46,,WHIRLPOOL
WHIRLPOOL, EQ,06-04-2021,inf,2208,2208,2180,2189,2186.55,2195.05,131557,8156,106956,81.3,-21.45,28,49.45,-0.98,2.26,1.27,9999,1682.36,HIGH,,FALSE,FALSE,23.39,0.81,0.06,9999,0,7.14,0.11,0.02,83.63,,WHIRLPOOL
WHIRLPOOL, EQ,12-04-2021,inf,2176,2182,2130,2162.45,2155.8,2153.98,60949,8396,30923,50.74,-20.2,52,72.2,-0.94,3.35,2.38,9999,1682.36,HIGH,,FALSE,FALSE,49.62,0.51,0.46,9999,0,11.06,0.02,0.11,-539.26,,WHIRLPOOL
WHIRLPOOL, EQ,13-04-2021,inf,2160,2214,2136,2178.25,2183.05,2187.14,48097,5807,23559,48.98,23.05,78,54.95,1.06,2.52,3.52,9999,1682.36,HIGH,,FALSE,FALSE,60.32,0.49,0.76,9999,0,7.38,0.01,0.02,-95.81,,WHIRLPOOL
WHIRLPOOL, EQ,15-04-2021,inf,2172,2188,2132,2138,2136.9,2143.94,64399,10241,37417,58.1,-35.1,56,91.1,-1.64,4.26,2.56,9999,1682.36,HIGH,,FALSE,FALSE,8.75,0.58,0.52,9999,0,8.03,0.02,0.01,54.52,,WHIRLPOOL
WHIRLPOOL, EQ,16-04-2021,inf,2156,2196,2124,2130,2138.25,2135.15,67815,13480,39557,58.33,-17.75,72,89.75,-0.83,4.2,3.28,9999,1682.36,HIGH,,FALSE,FALSE,19.79,0.58,0.71,9999,0,15.65,0.02,0.02,-21.48,,WHIRLPOOL
WHIRLPOOL, EQ,19-04-2021,inf,2124,2156,2086,2141.95,2135.5,2119.45,176799,11811,132241,74.8,11.5,70,58.5,0.54,2.74,3.25,9999,1682.36,HIGH,,FALSE,FALSE,70.71,0.75,0.7,9999,0,15.74,0.06,0.02,70.79,,WHIRLPOOL
WHIRLPOOL, EQ,20-04-2021,inf,2146,2164,2142,2149.8,2149.5,2151.44,114971,7730,92749,80.67,3.5,22,18.5,0.16,0.86,1.02,9999,1682.36,HIGH,,TRUE,FALSE,34.09,0.81,0.02,9999,0,16.35,0.12,0.06,55.14,,WHIRLPOOL
WHIRLPOOL, EQ,22-04-2021,inf,2130,2130,2088,2092,2090.85,2099.92,104077,7024,76875,73.86,-39.15,42,81.15,-1.87,3.88,1.97,9999,1682.36,HIGH,,FALSE,FALSE,6.79,0.74,0.3,9999,0,6.42,0.05,0.12,-130.09,,WHIRLPOOL
WHIRLPOOL, EQ,23-04-2021,inf,2100,2140,2088,2139,2131.7,2097.45,692668,17932,613312,88.54,31.7,52,20.3,1.49,0.95,2.43,9999,1682.36,,4.57,FALSE,FALSE,84.04,0.89,0.48,9999,0,1.98,0.35,0.05,84.46,,WHIRLPOOL
